ID,Population_of_Origin,Sex,Exposed,Infection_load,LogZE,Infection_StatusStatus,Died,DOD,Days_Survived,Days_Survived,SVL_mm,Mass_g,Log_mass,SVL_start,Mass_start,Log_mass_start
279,Eucumbene,m,1,4685869,6.670790236,Infected,1,1,10/17/2011,27,NA,3.12,0.494154594,29.3,3.61,0.557507202
313,Eucumbene,f,1,4775182,6.67899002,Infected,1,1,10/19/2011,29,NA,5.31,0.725094521,33.1,6.71,0.82672252
152,Eucumbene,f,1,6211433,6.793191875,Infected,1,1,10/20/2011,30,NA,3.59,0.555094449,35.3,4.51,0.654176542
242,Eucumbene,f,1,8005063,6.903364808,Infected,1,1,10/16/2011,26,NA,3.79,0.57863921,31.3,4.22,0.625312451
42,Greymare,f,0,0,0,Uninfected,0,1,12/16/2011,87,NA,4.31,0.63447727,34.1,4.38,0.641474111
48,Greymare,m,0,0,0,Uninfected,0,1,12/16/2011,87,NA,3.12,0.494154594,30.1,2.91,0.463892989
60,Greymare,m,0,0,0,Uninfected,0,1,12/16/2011,87,NA,3.39,0.530199698,30.9,3.44,0.536558443
221,Greymare,f,0,0,0,Uninfected,0,1,12/17/2011,88,NA,6.63,0.821513528,36.7,5.94,0.773786445
276,Greymare,m,0,0,0,Uninfected,0,1,12/18/2011,89,NA,3.68,0.565847819,32.5,3.8,0.579783597
307,Greymare,m,0,0,0,Uninfected,0,1,12/18/2011,89,NA,3.49,0.542825427,31.6,3.46,0.539076099
311,Greymare,m,0,0,0,Uninfected,0,1,12/18/2011,89,NA,2.97,0.472756449,30.3,2.57,0.409933123
334,Greymare,f,0,0,0,Uninfected,0,1,12/18/2011,89,NA,4.16,0.619093331,34.3,3.77,0.57634135
369,Greymare,m,0,0,0,Uninfected,0,1,12/18/2011,89,NA,3.26,0.5132176,31.3,3.07,0.487138375
402,Greymare,f,1,325,2.5132176,Infected,1,1,10/14/2011,24,NA,5.95,0.774516966,38.5,6.36,0.803457116
207,Greymare,m,1,1785,3.251881455,Infected,1,1,10/19/2011,29,NA,3.78,0.5774918,31.1,3.48,0.541579244
360,Greymare,m,1,5785,3.762378429,Infected,1,1,10/14/2011,24,NA,3.01,0.478566496,30.2,2.97,0.472756449
403,Greymare,m,1,13660,4.135482491,Infected,1,1,10/22/2011,32,NA,3.58,0.553883027,30.5,4.04,0.606381365
25,Greymare,f,1,45778,4.660666302,Infected,1,1,10/10/2011,20,NA,4.6,0.662757832,31.6,3.91,0.592176757
356,Greymare,m,1,67720,4.830723362,Infected,1,1,10/15/2011,25,NA,3.94,0.595496222,32.8,3.48,0.541579244
103,Greymare,f,1,81655,4.911988102,Infected,1,1,10/18/2011,28,NA,5.43,0.73479983,34.3,6.32,0.800717078
265,Greymare,f,1,100204,5.000889392,Infected,1,1,10/18/2011,28,NA,5.37,0.729974286,35,5.58,0.746634199
364,Greymare,f,1,168290,5.226060891,Infected,1,1,10/20/2011,30,NA,3.02,0.480006943,33.5,3.47,0.540329475
375,Greymare,m,1,217906,5.338271182,Infected,1,1,10/19/2011,29,NA,3.37,0.527629901,29.3,3.02,0.480006943
164,Greymare,f,1,262379,5.418930728,Infected,1,1,10/21/2011,31,NA,3.81,0.580924976,30.8,4.06,0.608526034
393,Greymare,f,1,273919,5.437623743,Infected,1,1,10/14/2011,24,NA,3.96,0.597695186,33.9,4.54,0.657055853
5,Greymare,m,1,304789,5.484000714,Infected,1,1,10/15/2011,25,NA,2.79,0.445604203,28.9,3.98,0.599883072
395,Greymare,f,1,306396,5.486284509,Infected,1,1,11/4/2011,45,NA,6.2,0.792391689,35.2,6.99,0.844477176
359,Greymare,m,1,312370,5.494670708,Infected,1,1,10/20/2011,30,27.7,2.5,0.397940009,28.8,3.62,0.558708571
219,Greymare,f,1,313653,5.49645083,Infected,1,1,10/14/2011,24,NA,3.95,0.596597096,33.2,4.93,0.692846919
230,Greymare,f,1,316548,5.500440946,Infected,1,1,10/19/2011,29,32.5,3.4,0.531478917,NA,NA,NA
366,Greymare,m,1,329202,5.517463784,Infected,1,1,10/9/2011,19,NA,5.42,0.733999287,30.6,3.88,0.588831726
259,Greymare,f,1,339465,5.530796283,Infected,1,1,10/20/2011,30,33.9,4.01,0.603144373,33.6,4.24,0.627365857
127,Greymare,m,1,347340,5.54075605,Infected,1,1,10/18/2011,28,NA,3.48,0.541579244,31.9,3.63,0.559906625
65,Greymare,m,1,374119,5.573010926,Infected,1,1,10/10/2011,20,NA,3.56,0.551449998,28.4,3.21,0.506505032
52,Greymare,m,1,399115,5.601099138,Infected,1,1,10/22/2011,32,NA,3.75,0.574031268,32.2,3.53,0.547774705
349,Greymare,m,1,443494,5.646888728,Infected,1,1,10/10/2011,20,NA,3.99,0.600972896,29.9,4.02,0.604226053
96,Greymare,f,1,446404,5.64972905,Infected,1,1,10/18/2011,28,NA,5.78,0.761927838,33.9,5.81,0.764176132
192,Greymare,f,1,449206,5.652446515,Infected,1,1,10/14/2011,24,NA,3.06,0.485721426,30.7,3.57,0.552668216
