FrogID,Site,Clutch,Sex,BdExposed,ShamExposed,Mass1,SVL1,2WPEwells06/10,2WPEzseDil06/10,2WPEzseCap06/10,2WPEzseUncap06/10,3WPEwells13/10,3WPEzseDil13/10,3WPEzseCap13/10,3WPEzseUncap13/10,4WPEwells20/10,4WPEzseDil20/10,4WPEzseCap20/10,4WPEzseUncap20/10,5WPEwells27/10,5WPEzseDil27/10,5WPEzseCap27/10,5WPEzseUncap27/10,6WPEwells03/11,6WPEzseDil03/11,6WPEzseCap03/11,6WPEzseUncap03/11,7WPEwells10/11,7WPEzseDil10/11,7WPEzseCap10/11,7WPEzseUncap10/11,8WPEwells17/11,8WPEzseDil17/11,8WPEzseCap17/11,8WPEzseUncap17/11,9WPEwells24/11,9WPEzseDil24/11,9WPEzseCap24/11,9WPEzseUncap24/11,10WPEwells01/12,10WPEzseDil01/12,10WPEzseCap01/12,10WPEzseUncap01/12,11WPEwells08/12,11WPEzseDil08/12,11WPEzseCap08/12,11WPEzseUncap08/12,DeathDate,Deathzsewells,DeathzseDil,DeathzseCap,DeathzseUncap,Mass2,DaysSurv,,,
Lva059,Eucumbene,Eucumbene D,female,1,0,3.77,30,3,48.1,8017,8018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/10/2011,3,6703.96,>16667,1117349,2.95,23,,,
Lva060,Greymare,Greymare C,male,0,1,3.44,30.9,3,10.51,1752,1752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Survivor,0,0,0,0,3.39,Survivor,,,
Lva061,Eucumbene,Eucumbene B,male,1,0,2,24.8,3,932.1,>16667,155381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9/10/2011,3,227.33,>16667,37889,2.08,19,,,
Lva062,Greymare,Greymare B,male,1,0,2.79,31.8,3,135.58,>16667,22601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21/10/2011,3,5175.55,>16667,862609,2.7,31,,,
Lva063,Kiandra,Kiandra A,female,1,0,3.39,31.8,3,25.95,4325,4326,3,9.64,1607,1607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/10/2011,3,5230.08,>16667,871697,4.04,28,,,
Lva064,Greymare,Greymare B,male,1,0,3.09,30.1,3,72.67,12112,12114,3,312.17,>16667,52038.739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/10/2011,3,8636.03,>16667,1439367,2.81,28,,,
Lva065,Greymare,Greymare A,male,1,0,3.21,28.4,3,1404.16,>16667,234073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/10/2011,3,2244.67,>16667,374119,3.56,20,,,
Lva066,Ogilvies,Ogilvies C,male,1,0,2.35,28.2,3,298.83,>16667,49815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23/10/2011,3,2734.59,>16667,455774,1.85,33,,,
Lva067,Kiandra,Kiandra A,female,1,0,5.53,36.1,3,28.56,4760,4761,3,231.72,>16667,38627.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/10/2011,3,459.88,>16667,76648,5.69,28,,,
Lva068,Eucumbene,Eucumbene A,female,1,0,5.13,32.7,3,5.05,842,842,3,237.38,>16667,39571.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20/10/2011,3,6416.6,>16667,1069455,4.44,30,,,
